Number of Floors,Number of Lifts,Max Weight,Max Speed,Floor Distance,Time at Floors
100,10,600.0,2.5,5.0,1.0

Floor,People entering,People exiting,
0,15,29
1,27,67
2,13,71
3,12,57
4,13,78
5,20,55
6,13,58
7,14,60
8,13,61
9,6,80
10,15,45
11,17,54
12,20,41
13,6,44
14,22,43
15,14,53
16,28,36
17,11,36
18,10,31
19,12,45
20,12,20
21,12,43
22,23,31
23,17,38
24,11,44
25,14,40
26,19,48
27,12,30
28,17,33
29,11,42
30,18,29
31,9,17
32,12,57
33,4,49
34,38,41
35,20,19
36,12,12
37,25,32
38,6,34
39,8,18
40,12,25
41,16,38
42,13,16
43,7,27
44,12,37
45,7,12
46,10,18
47,9,26
48,12,27
49,23,30
50,5,19
51,16,23
52,7,32
53,16,27
54,10,30
55,11,32
56,11,35
57,9,35
58,18,28
59,6,23
60,12,20
61,11,30
62,12,38
63,5,25
64,9,22
65,14,14
66,11,24
67,13,40
68,14,44
69,8,16
70,13,29
71,20,36
72,0,10
73,17,20
74,16,29
75,14,38
76,9,25
77,22,34
78,14,29
79,21,44
80,15,42
81,17,24
82,16,36
83,13,54
84,22,42
85,22,26
86,3,45
87,24,41
88,17,26
89,20,37
90,4,41
91,20,35
92,18,48
93,12,43
94,21,87
95,10,69
96,14,63
97,10,63
98,9,67
99,18,71
100,5,42

Lift,Up,Down,End,Average Occupation,Average Waiting Time
1,26,40,156,0.28174615,27.469696
2,16,36,133,0.23930924,32.98077
3,33,19,153,0.14986902,39.192307
4,28,20,125,0.1769578,33.9375
5,27,19,125,0.1817376,22.782608
6,14,37,144,0.17271505,39.942307
7,21,17,100,0.19396552,27.605263
8,34,29,172,0.21925133,27.317461
9,22,17,118,0.20238096,27.717949
10,14,29,103,0.18156934,27.39535

